filename,note,string,fret,take,onset_time,rms_peak_time,analysis_start_time,analysis_end_time
D3_S4_F0_01.wav,D3,4,0,1,1.385,1.48,1.73,2.23
D3_S4_F0_02.wav,D3,4,0,2,1.76,1.84,2.09,2.59
D3_S4_F0_03.wav,D3,4,0,3,1.315,1.425,1.675,2.175
D3_S4_F0_04.wav,D3,4,0,4,1.51,1.62,1.87,2.37
D3_S4_F0_05.wav,D3,4,0,5,0.95,1.04,1.29,1.79
D3_S4_F0_06.wav,D3,4,0,6,0.755,0.85,1.1,1.6
D3_S4_F0_07.wav,D3,4,0,7,2.15,2.255,2.505,3.005
D3_S4_F0_08.wav,D3,4,0,8,1.36,1.47,1.72,2.2199999999999998
D3_S4_F0_09.wav,D3,4,0,9,1.75,1.84,2.09,2.59
D3_S4_F0_10.wav,D3,4,0,10,1.035,1.125,1.375,1.875
D3_S5_F5_01.wav,D3,5,5,1,2.64,2.73,2.98,3.48
D3_S5_F5_02.wav,D3,5,5,2,2.91,3.015,3.265,3.765
D3_S5_F5_03.wav,D3,5,5,3,4.44,4.53,4.78,5.28
D3_S5_F5_04.wav,D3,5,5,4,3.14,3.255,3.505,4.005
D3_S5_F5_05.wav,D3,5,5,5,3.475,3.59,3.84,4.34
D3_S5_F5_06.wav,D3,5,5,6,2.69,2.78,3.03,3.53
D3_S5_F5_07.wav,D3,5,5,7,2.69,2.805,3.055,3.555
D3_S5_F5_08.wav,D3,5,5,8,3.655,3.85,4.1,4.6
D3_S5_F5_09.wav,D3,5,5,9,3.16,3.27,3.52,4.02
D3_S5_F5_10.wav,D3,5,5,10,3.605,3.665,3.915,4.415
D3_S6_F10_01.wav,D3,6,10,1,4.015,4.175,4.425,4.925
D3_S6_F10_02.wav,D3,6,10,2,3.45,3.56,3.81,4.3100000000000005
D3_S6_F10_03.wav,D3,6,10,3,3.68,3.855,4.105,4.605
D3_S6_F10_04.wav,D3,6,10,4,3.93,4.08,4.33,4.83
D3_S6_F10_05.wav,D3,6,10,5,2.225,2.38,2.63,3.13
D3_S6_F10_06.wav,D3,6,10,6,1.97,2.155,2.405,2.905
D3_S6_F10_07.wav,D3,6,10,7,3.43,3.565,3.815,4.3149999999999995
D3_S6_F10_08.wav,D3,6,10,8,3.965,4.17,4.42,4.92
D3_S6_F10_09.wav,D3,6,10,9,2.985,3.16,3.41,3.91
D3_S6_F10_10.wav,D3,6,10,10,3.18,3.335,3.585,4.085
E3_S4_F2_01.wav,E3,4,2,1,3.025,3.155,3.405,3.905
E3_S4_F2_02.wav,E3,4,2,2,3.37,3.5,3.75,4.25
E3_S4_F2_03.wav,E3,4,2,3,3.78,3.875,4.125,4.625
E3_S4_F2_04.wav,E3,4,2,4,2.51,2.59,2.84,3.34
E3_S4_F2_05.wav,E3,4,2,5,3.47,3.545,3.795,4.295
E3_S4_F2_06.wav,E3,4,2,6,4.11,4.21,4.46,4.96
E3_S4_F2_07.wav,E3,4,2,7,5.16,5.235,5.485,5.985
E3_S4_F2_08.wav,E3,4,2,8,3.245,3.36,3.61,4.109999999999999
E3_S4_F2_09.wav,E3,4,2,9,4.65,4.745,4.995,5.495
E3_S4_F2_10.wav,E3,4,2,10,4.37,4.465,4.715,5.215
E3_S5_F7_01.wav,E3,5,7,1,4.9,4.975,5.225,5.725
E3_S5_F7_02.wav,E3,5,7,2,5.33,5.425,5.675,6.175
E3_S5_F7_03.wav,E3,5,7,3,2.765,2.84,3.09,3.59
E3_S5_F7_04.wav,E3,5,7,4,4.985,5.085,5.335,5.835
E3_S5_F7_05.wav,E3,5,7,5,3.765,3.84,4.09,4.59
E3_S5_F7_06.wav,E3,5,7,6,2.73,2.81,3.06,3.56
E3_S5_F7_07.wav,E3,5,7,7,2.88,2.955,3.205,3.705
E3_S5_F7_08.wav,E3,5,7,8,3.155,3.235,3.485,3.985
E3_S5_F7_09.wav,E3,5,7,9,3.495,3.59,3.84,4.34
E3_S5_F7_10.wav,E3,5,7,10,2.275,2.37,2.62,3.12
E3_S6_F12_01.wav,E3,6,12,1,3.73,3.81,4.0600000000000005,4.5600000000000005
E3_S6_F12_02.wav,E3,6,12,2,4.55,4.625,4.875,5.375
E3_S6_F12_03.wav,E3,6,12,3,2.87,2.9,3.15,3.65
E3_S6_F12_04.wav,E3,6,12,4,3.92,4.0,4.25,4.75
E3_S6_F12_05.wav,E3,6,12,5,2.92,2.995,3.245,3.745
E3_S6_F12_06.wav,E3,6,12,6,4.055,4.135,4.385,4.885
E3_S6_F12_07.wav,E3,6,12,7,3.645,3.72,3.97,4.470000000000001
E3_S6_F12_08.wav,E3,6,12,8,3.72,3.82,4.07,4.57
E3_S6_F12_09.wav,E3,6,12,9,2.6,2.68,2.93,3.43
E3_S6_F12_10.wav,E3,6,12,10,3.56,3.64,3.89,4.390000000000001
E4_S1_F0_01.wav,E4,1,0,1,1.945,2.055,2.305,2.805
E4_S1_F0_02.wav,E4,1,0,2,2.9,3.08,3.33,3.83
E4_S1_F0_03.wav,E4,1,0,3,0.665,0.86,1.1099999999999999,1.6099999999999999
E4_S1_F0_04.wav,E4,1,0,4,2.56,2.77,3.02,3.52
E4_S1_F0_05.wav,E4,1,0,5,1.45,1.65,1.9,2.4
E4_S1_F0_06.wav,E4,1,0,6,1.75,1.96,2.21,2.71
E4_S1_F0_07.wav,E4,1,0,7,1.49,1.615,1.865,2.365
E4_S1_F0_08.wav,E4,1,0,8,0.925,1.01,1.26,1.76
E4_S1_F0_09.wav,E4,1,0,9,2.265,2.35,2.6,3.1
E4_S1_F0_10.wav,E4,1,0,10,1.51,1.59,1.84,2.34
E4_S2_F5_01.wav,E4,2,5,1,3.415,3.46,3.71,4.21
E4_S2_F5_02.wav,E4,2,5,2,2.41,2.44,2.69,3.19
E4_S2_F5_03.wav,E4,2,5,3,2.86,2.89,3.14,3.64
E4_S2_F5_04.wav,E4,2,5,4,2.905,2.935,3.185,3.685
E4_S2_F5_05.wav,E4,2,5,5,3.565,3.6,3.85,4.35
E4_S2_F5_06.wav,E4,2,5,6,2.605,2.635,2.885,3.385
E4_S2_F5_07.wav,E4,2,5,7,2.45,2.48,2.73,3.23
E4_S2_F5_08.wav,E4,2,5,8,1.33,1.575,1.825,2.325
E4_S2_F5_09.wav,E4,2,5,9,3.555,3.635,3.885,4.385
E4_S2_F5_10.wav,E4,2,5,10,3.135,3.205,3.455,3.955
E4_S3_F9_01.wav,E4,3,9,1,3.135,3.205,3.455,3.955
E4_S3_F9_02.wav,E4,3,9,2,3.495,3.575,3.825,4.325
E4_S3_F9_03.wav,E4,3,9,3,2.36,2.425,2.675,3.175
E4_S3_F9_04.wav,E4,3,9,4,4.205,4.27,4.52,5.02
E4_S3_F9_05.wav,E4,3,9,5,3.235,3.305,3.555,4.055
E4_S3_F9_06.wav,E4,3,9,6,2.905,2.955,3.205,3.705
E4_S3_F9_07.wav,E4,3,9,7,2.625,2.675,2.925,3.425
E4_S3_F9_08.wav,E4,3,9,8,3.84,3.91,4.16,4.66
E4_S3_F9_09.wav,E4,3,9,9,3.18,3.24,3.49,3.99
E4_S3_F9_10.wav,E4,3,9,10,2.935,2.995,3.245,3.745
F4_S1_F1_01.wav,F4,1,1,1,1.93,1.99,2.24,2.74
F4_S1_F1_02.wav,F4,1,1,2,2.255,2.3,2.55,3.05
F4_S1_F1_03.wav,F4,1,1,3,2.765,2.805,3.055,3.555
F4_S1_F1_04.wav,F4,1,1,4,1.84,1.88,2.13,2.63
F4_S1_F1_05.wav,F4,1,1,5,1.99,2.035,2.285,2.785
F4_S1_F1_06.wav,F4,1,1,6,2.47,2.52,2.77,3.27
F4_S1_F1_07.wav,F4,1,1,7,2.05,2.1,2.35,2.85
F4_S1_F1_08.wav,F4,1,1,8,2.485,2.53,2.78,3.28
F4_S1_F1_09.wav,F4,1,1,9,2.595,2.64,2.89,3.39
F4_S1_F1_10.wav,F4,1,1,10,1.5,1.57,1.82,2.3200000000000003
F4_S2_F6_01.wav,F4,2,6,1,2.065,2.12,2.37,2.87
F4_S2_F6_02.wav,F4,2,6,2,2.865,2.92,3.17,3.67
F4_S2_F6_03.wav,F4,2,6,3,3.92,3.975,4.225,4.725
F4_S2_F6_04.wav,F4,2,6,4,2.085,2.14,2.39,2.89
F4_S2_F6_05.wav,F4,2,6,5,3.905,3.96,4.21,4.71
F4_S2_F6_06.wav,F4,2,6,6,3.32,3.375,3.625,4.125
F4_S2_F6_07.wav,F4,2,6,7,3.71,3.83,4.08,4.58
F4_S2_F6_08.wav,F4,2,6,8,2.74,2.795,3.045,3.545
F4_S2_F6_09.wav,F4,2,6,9,2.6,2.655,2.905,3.405
F4_S2_F6_10.wav,F4,2,6,10,3.225,3.365,3.615,4.115
F4_S3_F10_01.wav,F4,3,10,1,5.385,5.49,5.74,6.24
